id,split
9200,train
1377,train
8210,train
9632,train
396,train
7659,train
7719,train
8413,train
2171,train
7532,train
9437,train
1477,train
8932,train
2109,train
3097,train
9689,train
4970,train
3979,train
6809,train
7443,train
6188,train
2947,train
5666,train
55,train
3975,train
1289,train
9557,train
8948,train
948,train
2002,train
8007,train
642,train
930,train
9814,train
8886,train
2989,train
7608,train
1586,train
5464,train
7034,train
1114,train
6772,train
1798,train
9080,train
9826,train
4207,train
8448,train
3605,train
1462,train
75,train
9438,train
5064,train
9625,train
8949,train
1463,train
2001,train
5175,train
876,train
2352,train
4005,train
2473,train
7252,train
2024,train
1663,train
614,train
799,train
4694,train
3447,train
9674,train
298,train
8888,train
3271,train
6761,train
808,train
8089,train
5843,train
4681,train
2846,train
7245,train
1865,train
8277,train
7862,train
9704,train
2653,train
3795,train
8083,train
7437,train
4603,train
9922,train
1096,train
9236,train
1097,train
3759,train
3421,train
1057,train
2112,train
3227,train
6529,train
9698,train
7493,train
8117,train
5899,train
4754,train
7557,train
3506,train
1123,train
6178,train
1659,train
4893,train
5438,train
7391,train
846,train
5213,train
9247,train
6621,train
9784,train
1694,train
5471,train
1529,train
1471,train
7189,train
149,train
7462,train
1344,train
3031,train
1654,train
5969,train
4589,train
1980,train
4847,train
9737,train
2386,train
4898,train
878,train
2126,train
4498,train
6852,train
4451,train
678,train
7104,train
5219,train
8777,train
9765,train
4708,train
7810,train
2674,train
918,train
8269,train
7517,train
9510,train
7099,train
5961,train
8540,train
9646,train
5536,train
617,train
2066,train
4304,train
2355,train
6039,train
3483,train
357,train
1153,train
9094,train
166,train
1210,train
6800,train
1319,train
2253,train
3848,train
8222,train
6508,train
6478,train
2892,train
2910,train
3559,train
6485,train
5625,train
3711,train
7726,train
4730,train
4827,train
9568,train
6022,train
3211,train
7478,train
4696,train
1562,train
6834,train
4020,train
4169,train
4759,train
2046,train
8633,train
2934,train
4144,train
6029,train
764,train
1304,train
3088,train
8731,train
7479,train
3764,train
4894,train
3964,train
2097,train
4584,train
5370,train
9629,train
2797,train
9140,train
5107,train
306,train
3857,train
8623,train
635,train
3568,train
3190,train
2456,train
4044,train
6564,train
3328,train
4826,train
8691,train
4241,train
6466,train
837,train
1795,train
7293,train
3572,train
1379,train
9023,train
576,train
9564,train
6863,train
1976,train
9938,train
8046,train
7566,train
8380,train
294,train
9336,train
5426,train
9770,train
3997,train
6391,train
5069,train
5068,train
2872,train
1762,train
225,train
6356,train
4510,train
8376,train
5240,train
5127,train
4133,train
8721,train
356,train
5721,train
5448,train
285,train
2389,train
6576,train
5832,train
8309,train
1320,train
6139,train
2451,train
1722,train
5628,train
8158,train
5556,train
4492,train
3802,train
5913,train
8695,train
6936,train
9237,train
798,train
9165,train
6705,train
774,train
3411,train
4177,train
5881,train
2580,train
1733,train
9643,train
881,train
807,train
2789,train
2831,train
5155,train
9801,train
711,train
329,train
5274,train
2261,train
2558,train
8323,train
7205,train
2344,train
7423,train
5952,train
6947,train
7348,train
3148,train
4107,train
5128,train
8455,train
105,train
4393,train
8273,train
4472,train
6531,train
8476,train
1852,train
3622,train
9671,train
8615,train
9989,train
3538,train
5148,train
5231,train
6819,train
4100,train
7258,train
941,train
2327,train
6712,train
6678,train
1474,train
5744,train
4773,train
7200,train
7689,train
9743,train
3111,train
894,train
7261,train
6733,train
5191,train
4467,train
3818,train
1928,train
4668,train
8216,train
2999,train
44,train
4595,train
3311,train
72,train
7112,train
1313,train
1062,train
3115,train
8194,train
321,train
276,train
4459,train
3529,train
1346,train
9031,train
7757,train
2697,train
4611,train
8877,train
7770,train
345,train
4024,train
9602,train
4330,train
9102,train
370,train
4476,train
4209,train
943,train
2017,train
9032,train
185,train
704,train
9049,train
8236,train
2196,train
4937,train
4065,train
5505,train
1292,train
5007,train
3794,train
6018,train
8611,train
2218,train
9458,train
1766,train
689,train
5281,train
6101,train
8342,train
754,train
996,train
6481,train
4522,train
4701,train
3317,train
3844,train
7115,train
2536,train
5637,train
1721,train
30,train
5013,train
7638,train
2595,train
9502,train
8626,train
2178,train
2886,train
4232,train
2458,train
5991,train
7932,train
7888,train
4948,train
2229,train
731,train
5489,train
8015,train
2900,train
3374,train
9624,train
7708,train
567,train
1105,train
1806,train
3065,train
2800,train
8559,train
3467,train
1201,train
4781,train
2937,train
4104,train
6076,train
2997,train
6602,train
9205,train
6153,train
6442,train
4287,train
9405,train
2913,train
2783,train
3099,train
1594,train
7680,train
8400,train
1165,train
5296,train
47,train
5595,train
9979,train
7012,train
6891,train
488,train
3588,train
3337,train
7735,train
8418,train
3380,train
2786,train
178,train
5227,train
8524,train
8437,train
7287,train
2239,train
8889,train
4979,train
1102,train
7506,train
3376,train
6205,train
2620,train
3872,train
5207,train
5999,train
2701,train
1278,train
6455,train
4928,train
9078,train
5796,train
2547,train
1573,train
407,train
1382,train
6841,train
4427,train
8993,train
5262,train
753,train
7911,train
2454,train
168,train
3767,train
9220,train
3841,train
2512,train
3656,train
7954,train
3478,train
2479,train
6657,train
2263,train
6673,train
2656,train
5738,train
8861,train
1315,train
8486,train
8583,train
5303,train
1599,train
4908,train
7749,train
381,train
7799,train
9322,train
2082,train
6423,train
1334,train
1125,train
863,train
9901,train
9329,train
4124,train
8461,train
7863,train
4927,train
4150,train
8740,train
455,train
2950,train
2829,train
791,train
3615,train
9961,train
8157,train
5783,train
2483,train
2902,train
9397,train
87,train
173,train
4865,train
4063,train
8444,train
1702,train
4819,train
9522,train
1763,train
3508,train
6616,train
7802,train
1363,train
5781,train
6732,train
1044,train
8700,train
1758,train
3390,train
6389,train
8828,train
8317,train
4180,train
4512,train
6746,train
3945,train
6233,train
3734,train
5000,train
655,train
9524,train
2023,train
93,train
6119,train
8745,train
1728,train
8525,train
2466,train
48,train
5522,train
9356,train
5907,train
7292,train
4947,train
8116,train
9439,train
3630,train
512,train
8012,train
3336,train
8290,train
875,train
6691,train
3989,train
4206,train
3032,train
9650,train
9680,train
5199,train
6282,train
2516,train
5468,train
4460,train
9822,train
8122,train
5734,train
5658,train
7830,train
319,train
4321,train
4789,train
9832,train
1640,train
9676,train
3629,train
965,train
5804,train
5490,train
4032,train
2357,train
328,train
4732,train
5823,train
121,train
1689,train
7655,train
9647,train
7024,train
1350,train
7856,train
1900,train
144,train
9318,train
9174,train
6904,train
4692,train
6158,train
7128,train
2465,train
1128,train
4264,train
2818,train
1318,train
4742,train
2615,train
4905,train
200,train
3510,train
3471,train
5110,train
5598,train
5473,train
6755,train
4517,train
1692,train
3888,train
2370,train
4617,train
9710,train
3722,train
3203,train
2626,train
861,train
3083,train
293,train
9917,train
8590,train
5408,train
2764,train
9634,train
7467,train
9512,train
2417,train
5027,train
9659,train
8580,train
5111,train
4964,train
565,train
8996,train
6871,train
1228,train
1359,train
7678,train
5611,train
3141,train
7769,train
7288,train
4652,train
4310,train
5271,train
6905,train
8422,train
5887,train
5016,train
2718,train
8963,train
8591,train
8800,train
1750,train
1752,train
3168,train
5748,train
2184,train
2546,train
7299,train
6792,train
4234,train
2280,train
9578,train
5994,train
316,train
3580,train
8371,train
1434,train
6297,train
67,train
3103,train
6362,train
7572,train
8781,train
7486,train
206,train
8021,train
2068,train
5943,train
8822,train
584,train
2597,train
1043,train
6821,train
9618,train
3204,train
6251,train
9965,train
4495,train
3481,train
8152,train
2232,train
8106,train
1813,train
6336,train
784,train
6911,train
3996,train
3788,train
5982,train
3667,train
2978,train
1086,train
4335,train
1424,train
4259,train
148,train
4410,train
43,train
153,train
3536,train
6141,train
8042,train
3077,train
8107,train
4710,train
2450,train
8240,train
188,train
9038,train
6337,train
7407,train
8535,train
7804,train
6087,train
7295,train
8764,train
4015,train
8928,train
317,train
4362,train
1745,train
4479,train
9416,train
8251,train
8725,train
9286,train
7763,train
5061,train
2550,train
553,train
9166,train
2662,train
7468,train
9223,train
6093,train
6420,train
7992,train
1757,train
6314,train
9944,train
5070,train
2890,train
8756,train
1982,train
4231,train
7601,train
5857,train
9261,train
2682,train
2395,train
5550,train
9818,train
2857,train
8472,train
3312,train
5511,train
5715,train
7988,train
7542,train
2533,train
1189,train
2788,train
4544,train
9115,train
4808,train
4373,train
4806,train
8699,train
598,train
2258,train
7933,train
7148,train
4591,train
5397,train
9423,train
6437,train
2917,train
4000,train
5542,train
4211,train
5221,train
2590,train
9692,train
9528,train
4269,train
2568,train
9352,train
1824,train
3703,train
2860,train
6635,train
7473,train
5504,train
2548,train
1713,train
2883,train
8059,train
1263,train
3511,train
9958,train
2983,train
3840,train
1877,train
587,train
2209,train
5255,train
4907,train
4504,train
4657,train
8307,train
8056,train
8782,train
1380,train
101,train
5837,train
810,train
9542,train
5441,train
4932,train
1270,train
3357,train
839,train
9840,train
3892,train
4455,train
8913,train
5863,train
8910,train
3163,train
6373,train
3033,train
2039,train
5518,train
5757,train
7363,train
8082,train
9124,train
8843,train
8355,train
8630,train
9067,train
9217,train
6461,train
8929,train
4726,train
4612,train
6952,train
2214,train
9955,train
7814,train
9392,train
9531,train
8054,train
4529,train
8794,train
1902,train
8405,train
5245,train
9259,train
5702,train
4212,train
6935,train
9005,train
9245,train
2734,train
8608,train
3986,train
1499,train
6879,train
2498,train
6488,train
2296,train
8076,train
6116,train
186,train
8837,train
5508,train
9808,train
9383,train
8195,train
3566,train
1331,train
9998,train
7812,train
2177,train
2322,train
8768,train
3591,train
7817,train
2607,train
3479,train
6634,train
1358,train
2502,train
9664,train
7249,train
4592,train
6498,train
342,train
8428,train
2054,train
818,train
5352,train
7977,train
984,train
2971,train
6375,train
1085,train
3754,train
324,train
4317,train
4311,train
7274,train
3371,train
3274,train
9584,train
937,train
5051,train
1747,train
9787,train
5180,train
5481,train
5708,train
4072,train
2780,train
2067,train
8688,train
8041,train
2154,train
6182,train
6619,train
7755,train
6679,train
7625,train
9153,train
86,train
3201,train
7915,train
7416,train
8100,train
9232,train
3426,train
3893,train
4377,train
3119,train
8692,train
9751,train
785,train
8134,train
7065,train
155,train
1993,train
2557,train
1788,train
653,train
5916,train
5396,train
9520,train
7998,train
7450,train
1755,train
1140,train
564,train
5350,train
6749,train
5204,train
2579,train
3491,train
5232,train
4443,train
3186,train
1540,train
4360,train
5689,train
4640,train
8500,train
8266,train
5891,train
2969,train
6045,train
6407,train
9461,train
5607,train
5242,train
1886,train
340,train
831,train
7256,train
1906,train
7404,train
9622,train
7556,train
2614,train
4165,train
2490,train
7018,train
2102,train
4356,train
8301,train
2727,train
7944,train
6740,train
1820,train
3022,train
9347,train
9600,train
9693,train
7967,train
9047,train
9415,train
7641,train
8685,train
6302,train
9039,train
7630,train
7847,train
8659,train
2061,train
7226,train
156,train
4295,train
3445,train
3067,train
5877,train
5726,train
9945,train
8619,train
8514,train
6745,train
8884,train
3902,train
8284,train
7607,train
2703,train
6011,train
8641,train
7728,train
6661,train
4604,train
7765,train
9134,train
804,train
250,train
2438,train
2349,train
6524,train
2012,train
929,train
3880,train
6625,train
1464,train
3413,train
9485,train
6708,train
8447,train
872,train
1470,train
3091,train
7466,train
6118,train
7644,train
1892,train
4319,train
8053,train
6758,train
7489,train
2427,train
6465,train
6097,train
1146,train
9837,train
1587,train
6034,train
5659,train
2358,train
802,train
8733,train
4831,train
7920,train
9206,train
1484,train
3036,train
3564,train
6990,train
7662,train
4333,train
1405,train
4203,train
4582,train
7376,train
9311,train
7385,train
8090,train
1609,train
3338,train
8069,train
4366,train
1809,train
9304,train
7687,train
8530,train
561,train
9802,train
6221,train
7430,train
1213,train
9226,train
3563,train
9407,train
1675,train
4729,train
777,train
9065,train
3144,train
1134,train
3096,train
3131,train
740,train
755,train
5706,train
3323,train
6304,train
7210,train
4930,train
9385,train
9640,train
644,train
8361,train
9530,train
862,train
8086,train
6129,train
9203,train
1326,train
7102,train
4689,train
4249,train
7238,train
4487,train
4228,train
9180,train
6953,train
1773,train
3339,train
634,train
5311,train
9136,train
3769,train
4828,train
2378,train
369,train
5429,train
4078,train
9681,train
8711,train
5939,train
5194,train
6015,train
859,train
3994,train
1442,train
9740,train
5200,train
8474,train
6805,train
6284,train
8425,train
205,train
3939,train
7072,train
327,train
4383,train
9537,train
7595,train
4959,train
1373,train
7118,train
5402,train
2273,train
3634,train
1901,train
9275,train
9554,train
6464,train
7613,train
3602,train
2862,train
8808,train
3665,train
8249,train
9381,train
4166,train
2449,train
8488,train
3644,train
2739,train
4288,train
9230,train
6707,train
4046,train
4713,train
5717,train
223,train
7109,train
6275,train
4844,train
6298,train
3316,train
7882,train
7674,train
8265,train
6684,train
2424,train
1785,train
1974,train
2338,train
1844,train
4619,train
5957,train
8955,train
7620,train
645,train
3758,train
4897,train
4336,train
423,train
4261,train
1602,train
7753,train
8592,train
3114,train
4190,train
6884,train
9771,train
6874,train
1158,train
1199,train
7419,train
4931,train
4637,train
7514,train
6151,train
4707,train
855,train
4480,train
6967,train
4817,train
1077,train
7147,train
8734,train
8103,train
4238,train
4556,train
5346,train
8481,train
7702,train
6258,train
3054,train
6269,train
5036,train
8755,train
1055,train
1601,train
3377,train
3695,train
9324,train
5691,train
414,train
5750,train
6064,train
3174,train
3238,train
9909,train
2844,train
3475,train
3021,train
3549,train
4454,train
9370,train
3404,train
5477,train
5363,train
6010,train
1509,train
1472,train
7389,train
7694,train
4802,train
6236,train
3647,train
9444,train
2056,train
1833,train
6878,train
5962,train
4863,train
8176,train
2402,train
2129,train
8846,train
6168,train
4609,train
4540,train
1821,train
8173,train
7485,train
1233,train
1258,train
2572,train
8896,train
5627,train
8345,train
796,train
5494,train
6322,train
7415,train
3155,train
6534,train
8096,train
1682,train
9071,train
765,train
7291,train
6916,train
9738,train
1684,train
2094,train
6208,train
8397,train
934,train
821,train
2079,train
3736,train
2880,train
3991,train
581,train
1120,train
2459,train
1889,train
1618,train
7836,train
6065,train
5766,train
1706,train
2642,train
3414,train
4691,train
6768,train
5636,train
9183,train
9002,train
7650,train
3444,train
7359,train
2165,train
475,train
2277,train
6224,train
378,train
1923,train
2133,train
2830,train
3623,train
4240,train
2543,train
9934,train
9386,train
1511,train
1790,train
4080,train
2832,train
179,train
1255,train
5050,train
2554,train
7068,train
2963,train
7239,train
7553,train
684,train
9717,train
5079,train
4566,train
8743,train
8372,train
5379,train
7895,train
6560,train
4533,train
3567,train
305,train
1801,train
5206,train
4997,train
243,train
7762,train
7454,train
6717,train
6068,train
4912,train
7979,train
4268,train
9626,train
6502,train
7206,train
4354,train
4527,train
3431,train
2361,train
2707,train
1489,train
5126,train
2705,train
1421,train
7076,train
1291,train
6968,train
556,train
1457,train
828,train
7575,train
6079,train
2841,train
9990,train
3329,train
8333,train
9533,train
5608,train
6459,train
8967,train
3008,train
6077,train
4423,train
8417,train
5761,train
3105,train
6428,train
6934,train
2191,train
4878,train
590,train
5903,train
3959,train
3330,train
3745,train
4239,train
1100,train
7041,train
4127,train
6895,train
6813,train
7691,train
9326,train
4253,train
7521,train
6246,train
62,train
8212,train
246,train
2411,train
5665,train
7145,train
1224,train
7132,train
2235,train
2677,train
5649,train
6994,train
9673,train
6639,train
7253,train
6762,train
9703,train
6718,train
3463,train
3662,train
9043,train
5103,train
1727,train
8565,train
9679,train
9040,train
2364,train
5652,train
104,train
6961,train
8621,train
7369,train
3320,train
8203,train
2748,train
5163,train
5736,train
9073,train
732,train
6377,train
3074,train
9340,train
7424,train
6785,train
742,train
9973,train
6432,train
5828,train
9588,train
5977,train
3489,train
7628,train
2368,train
2412,train
2047,train
9109,train
2069,train
968,train
7642,train
4838,train
7623,train
331,train
5279,train
1247,train
4662,train
5758,train
4555,train
9587,train
33,train
2262,train
1767,train
7692,train
1242,train
3988,train
1620,train
2156,train
7639,train
5059,train
1284,train
8367,train
5208,train
5897,train
7136,train
7565,train
1566,train
226,train
3790,train
3742,train
4363,train
7790,train
4033,train
715,train
1023,train
8560,train
2139,train
4559,train
5565,train
1392,train
447,train
8634,train
9216,train
6846,train
7796,train
3527,train
7271,train
867,train
8789,train
7117,train
8407,train
3600,train
735,train
6798,train
2921,train
1734,train
4672,train
2777,train
5238,train
1240,train
903,train
7963,train
8280,train
2350,train
7296,train
5338,train
8045,train
376,train
2293,train
8365,train
4090,train
3826,train
6823,train
3488,train
1984,train
7635,train
5118,train
7257,train
3398,train
6440,train
8401,train
9371,train
3029,train
9221,train
5447,train
511,train
3283,train
6234,train
6683,train
7332,train
9977,train
2843,train
9242,train
3807,train
244,train
1127,train
2072,train
9269,train
9280,train
8607,train
670,train
2042,train
7727,train
3415,train
7411,train
3836,train
1850,train
4159,train
208,train
2694,train
8224,train
8383,train
4236,train
4741,train
4994,train
7609,train
7406,train
8226,train
9697,train
5407,train
6648,train
9339,train
609,train
6887,train
4426,train
1703,train
9730,train
6220,train
7633,train
3334,train
6412,train
361,train
6291,train
6009,train
7263,train
5890,train
5749,train
9139,train
6226,train
9665,train
3707,train
6359,train
1925,train
583,train
9732,train
1577,train
9953,train
8023,train
3922,train
641,train
6771,train
6868,train
8051,train
610,train
2099,train
9760,train
4677,train
4141,train
3043,train
672,train
5158,train
6851,train
3910,train
538,train
1973,train
1445,train
9831,train
9762,train
1008,train
4509,train
4250,train
8618,train
9302,train
8102,train
3512,train
6054,train
4074,train
8914,train
852,train
3064,train
8876,train
6418,train
781,train
8557,train
7345,train
7435,train
9164,train
3061,train
1536,train
7013,train
3440,train
4147,train
1065,train
3259,train
3761,train
6047,train
6516,train
6592,train
3023,train
9816,train
1287,train
1646,train
2380,train
7222,train
4110,train
9635,train
452,train
7278,train
6446,train
15,train
9202,train
9191,train
5752,train
8442,train
9098,train
8804,train
1769,train
1854,train
6245,train
6495,train
7537,train
7859,train
4630,train
911,train
6877,train
2873,train
3464,train
9440,train
4341,train
6046,train
7180,train
5865,train
1079,train
8686,train
4047,train
5383,train
8034,train
5099,train
2091,train
4155,train
3598,train
7890,train
5788,train
7525,train
6685,train
6084,train
284,train
2587,train
9260,train
1362,train
4872,train
1389,train
5587,train
8061,train
5005,train
5145,train
1211,train
9317,train
3410,train
3553,train
6171,train
3866,train
66,train
4438,train
3453,train
7995,train
8790,train
8141,train
1501,train
2430,train
4573,train
7087,train
7573,train
2469,train
9724,train
889,train
9246,train
5674,train
1104,train
9606,train
8960,train
1330,train
444,train
4940,train
433,train
8714,train
5294,train
9830,train
3015,train
7771,train
8001,train
7052,train
2624,train
7654,train
1800,train
6279,train
1556,train
2809,train
3943,train
4343,train
8779,train
5699,train
7712,train
7178,train
6545,train
5629,train
446,train
5381,train
9499,train
3725,train
7611,train
6112,train
5308,train
1345,train
2514,train
2759,train
6016,train
1808,train
1332,train
779,train
8066,train
613,train
427,train
5104,train
4599,train
4988,train
8698,train
7232,train
8395,train
6597,train
9376,train
790,train
5100,train
8334,train
2720,train
5653,train
2923,train
1701,train
7747,train
4616,train
9954,train
4834,train
3584,train
6124,train
5635,train
3701,train
2779,train
7706,train
4786,train
2845,train
1990,train
5377,train
9495,train
4071,train
3416,train
7846,train
5333,train
510,train
6332,train
1876,train
3671,train
195,train
2879,train
8647,train
3977,train
9435,train
9517,train
671,train
7758,train
3315,train
337,train
5980,train
4645,train
8185,train
2297,train
3368,train
5203,train
5445,train
3167,train
1899,train
8578,train
6922,train
3477,train
1265,train
3752,train
4246,train
2852,train
1466,train
1280,train
4128,train
5603,train
5839,train
2360,train
3199,train
921,train
4752,train
8507,train
1960,train
5278,train
4961,train
4338,train
3960,train
9845,train
9075,train
9779,train
2376,train
8609,train
6681,train
3181,train
4552,train
2665,train
4900,train
4028,train
632,train
2878,train
3552,train
3908,train
7048,train
4345,train
607,train
8645,train
1249,train
158,train
7,train
1799,train
997,train
597,train
592,train
549,train
4536,train
7580,train
4380,train
291,train
6806,train
6629,train
7398,train
618,train
2474,train
2096,train
3235,train
3573,train
9062,train
5672,train
4267,train
5251,train
5621,train
2646,train
4835,train
8797,train
558,train
805,train
9450,train
6340,train
1772,train
1710,train
6741,train
5115,train
5376,train
5892,train
3696,train
3322,train
76,train
7583,train
1234,train
3501,train
1504,train
313,train
8104,train
763,train
877,train
8811,train
5856,train
7161,train
4723,train
7110,train
8976,train
961,train
4284,train
516,train
4235,train
7737,train
6828,train
8144,train
4703,train
1578,train
6789,train
1842,train
8099,train
9380,train
8257,train
7571,train
6614,train
3298,train
6115,train
8204,train
5610,train
2410,train
6940,train
1742,train
4519,train
3225,train
9159,train
8858,train
3078,train
2915,train
2226,train
2034,train
2159,train
1195,train
599,train
8965,train
3240,train
2391,train
7597,train
3570,train
6589,train
7549,train
2737,train
1428,train
1494,train
3649,train
7318,train
4508,train
5615,train
2812,train
8058,train
1832,train
8854,train
5648,train
1406,train
1904,train
2500,train
9436,train
2638,train
6555,train
5812,train
6503,train
4649,train
5226,train
483,train
8566,train
8943,train
7074,train
9343,train
7262,train
5755,train
1275,train
6579,train
7219,train
8816,train
8574,train
6434,train
9490,train
7364,train
2805,train
6392,train
2925,train
6272,train
6540,train
7254,train
772,train
6825,train
7484,train
3806,train
2887,train
3142,train
3166,train
2851,train
9029,train
2837,train
7000,train
723,train
6324,train
1864,train
3041,train
8891,train
5638,train
2700,train
4777,train
9224,train
4437,train
307,train
4217,train
9964,train
919,train
7316,train
5576,train
3387,train
69,train
8123,train
5704,train
7259,train
3124,train
8739,train
7010,train
9736,train
5154,train
1064,train
3793,train
9504,train
8287,train
7351,train
3675,train
2874,train
5160,train
7201,train
7600,train
154,train
3574,train
2365,train
8715,train
1895,train
998,train
8838,train
9721,train
9862,train
6969,train
7990,train
9514,train
1572,train
6267,train
383,train
2527,train
2362,train
3691,train
8275,train
343,train
6655,train
3092,train
7491,train
8454,train
1352,train
3106,train
9064,train
8480,train
4103,train
3715,train
2342,train
1227,train
6654,train
9018,train
3962,train
3970,train
3051,train
8426,train
2160,train
7045,train
2933,train
2308,train
1188,train
3911,train
5356,train
2086,train
9798,train
2509,train
8788,train
9570,train
3261,train
6472,train
3843,train
2398,train
2354,train
2241,train
504,train
1013,train
4489,train
6002,train
3366,train
3582,train
2746,train
7791,train
4909,train
3823,train
7370,train
7800,train
6709,train
9061,train
3042,train
6026,train
221,train
2555,train
8697,train
2747,train
8296,train
5297,train
2865,train
6281,train
4214,train
1853,train
688,train
4222,train
7139,train
3197,train
4276,train
405,train
6664,train
9069,train
5509,train
8968,train
5277,train
6865,train
6289,train
8610,train
4123,train
4656,train
2970,train
1277,train
4643,train
3784,train
2949,train
7471,train
4067,train
9844,train
3778,train
5683,train
926,train
8652,train
1333,train
1388,train
9767,train
6894,train
2593,train
7453,train
4840,train
2605,train
1325,train
7469,train
3610,train
1873,train
8551,train
9685,train
830,train
9493,train
989,train
9145,train
5382,train
8829,train
7584,train
6982,train
7739,train
1828,train
3495,train
9360,train
6802,train
6587,train
3516,train
7113,train
7241,train
9663,train
277,train
1229,train
7930,train
4966,train
7030,train
2598,train
2651,train
6209,train
656,train
4634,train
3940,train
1036,train
8189,train
9141,train
241,train
1073,train
5561,train
3819,train
2348,train
8708,train
2236,train
9763,train
6401,train
3556,train
9571,train
7528,train
4785,train
2919,train
2599,train
3403,train
738,train
5162,train
8036,train
4803,train
2128,train
5197,train
3159,train
3102,train
601,train
5173,train
6820,train
4674,train
6333,train
1741,train
2835,train
9030,train
14,train
8349,train
6885,train
8110,train
8109,train
4518,train
9911,train
1628,train
4585,train
1269,train
537,train
2757,train
9806,train
5547,train
5692,train
1530,train
5809,train
8493,train
8972,train
5633,train
5805,train
35,train
7301,train
3019,train
416,train
5321,train
2643,train
1661,train
1338,train
1836,train
5954,train
6742,train
7163,train
191,train
9563,train
4778,train
1467,train
4244,train
6344,train
5304,train
4391,train
7740,train
4227,train
3284,train
6910,train
8456,train
6036,train
5359,train
8201,train
869,train
9320,train
5733,train
8833,train
5964,train
5403,train
3,train
2195,train
2375,train
2423,train
7481,train
5920,train
6829,train
2588,train
9694,train
2503,train
604,train
4670,train
4035,train
3193,train
1945,train
5754,train
9257,train
9087,train
9863,train
3364,train
8154,train
4635,train
4413,train
7002,train
737,train
2519,train
7014,train
2371,train
4115,train
8369,train
3391,train
2690,train
8451,train
1294,train
6669,train
9179,train
714,train
5228,train
9266,train
1285,train
1612,train
3558,train
3100,train
7576,train
7153,train
5166,train
7618,train
8120,train
1274,train
1473,train
9544,train
7999,train
4800,train
4727,train
229,train
5515,train
9410,train
6907,train
9270,train
2953,train
2842,train
5908,train
3913,train
3302,train
4748,train
6554,train
1912,train
1450,train
3741,train
640,train
358,train
2198,train
693,train
8037,train
1173,train
3121,train
6812,train
5063,train
5026,train
3176,train
2709,train
2366,train
4787,train
3153,train
8080,train
3748,train
3550,train
3262,train
3581,train
5466,train
3503,train
8050,train
2632,train
4784,train
2629,train
2617,train
2210,train
9804,train
2604,train
4397,train
5235,train
9540,train
6763,train
1580,train
1496,train
6991,train
8243,train
6556,train
591,train
9160,train
1139,train
3755,train
4537,train
5769,train
4766,train
7221,train
3898,train
5337,train
9875,train
8831,train
5978,train
2750,train
550,train
2285,train
9400,train
2622,train
5400,train
6156,train
8933,train
7133,train
3273,train
8360,train
6342,train
2227,train
8463,train
7056,train
8031,train
